idx,parent,sibling,depth,retired,done,t_entry,t_exit,cx0,cx1,cx2,cx3,hw0,hw1,hw2,hw3
386,192,385,8,0,1,6.16539,18.8496,0.500062,0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
387,193,388,8,0,1,6.17738,18.8496,0.500187,-0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
388,193,387,8,0,1,6.17738,18.8496,0.500187,0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
389,194,390,8,0,1,6.17423,18.8496,0.500187,-0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
390,194,389,8,0,1,6.17423,18.8496,0.500187,0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
391,195,392,8,0,1,6.17443,18.8496,0.500062,-0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
392,195,391,8,0,1,6.17443,18.8496,0.500062,0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
393,196,394,8,0,1,6.18014,18.8496,0.500062,-0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
394,196,393,8,0,1,6.18014,18.8496,0.500062,0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
395,197,396,8,0,1,6.18203,18.8496,0.500187,-0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
396,197,395,8,0,1,6.18203,18.8496,0.500187,0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
397,198,398,8,0,1,6.19213,18.8496,0.500187,-0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
398,198,397,8,0,1,6.19213,18.8496,0.500187,0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
399,199,400,8,0,1,6.17016,18.8496,0.500313,-0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
400,199,399,8,0,1,6.17016,18.8496,0.500313,0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
401,200,402,8,0,1,6.18349,18.8496,0.500313,-0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
402,200,401,8,0,1,6.18349,18.8496,0.500313,0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
403,201,404,8,0,1,6.17894,18.8496,0.500437,-0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
404,201,403,8,0,1,6.17894,18.8496,0.500437,0.0005,0,1.73118,6.25e-05,0.0005,0.001,0.000125
405,202,406,8,0,1,6.19838,18.8496,0.500437,-0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
406,202,405,8,0,1,6.19838,18.8496,0.500437,0.0005,0,1.73143,6.25e-05,0.0005,0.001,0.000125
407,203,408,8,0,1,6.1994,18.8496,0.500313,-0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
408,203,407,8,0,1,6.1994,18.8496,0.500313,0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
409,204,410,8,0,1,6.20595,18.8496,0.500313,-0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
410,204,409,8,0,1,6.20595,18.8496,0.500313,0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
411,205,412,8,0,1,6.21184,18.8496,0.500437,-0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
412,205,411,8,0,1,6.21184,18.8496,0.500437,0.0005,0,1.73168,6.25e-05,0.0005,0.001,0.000125
413,206,414,8,0,1,6.21863,18.8496,0.500437,-0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
414,206,413,8,0,1,6.21863,18.8496,0.500437,0.0005,0,1.73193,6.25e-05,0.0005,0.001,0.000125
415,207,416,8,0,1,6.20048,18.8496,0.500062,-0.0005,0,1.73218,6.25e-05,0.0005,0.001,0.000125
416,207,415,8,0,1,6.20048,18.8496,0.500062,0.0005,0,1.73218,6.25e-05,0.0005,0.001,0.000125
417,208,418,8,0,1,6.18652,18.8496,0.500062,-0.0005,0,1.73243,6.25e-05,0.0005,0.001,0.000125
418,208,417,8,0,1,6.18652,18.8496,0.500062,0.0005,0,1.73243,6.25e-05,0.0005,0.001,0.000125
419,209,420,8,0,1,6.20293,18.8496,0.500187,-0.0005,0,1.73218,6.25e-05,0.0005,0.001,0.000125
420,209,419,8,0,1,6.20293,18.8496,0.500187,0.0005,0,1.73218,6.25e-05,0.0005,0.001,0.000125
421,210,422,8,0,1,6.21365,18.8496,0.500187,-0.0005,0,1.73243,6.25e-05,0.0005,0.001,0.000125
422,210,421,8,0,1,6.21365,18.8496,0.500187,0.0005,0,1.73243,6.25e-05,0.0005,0.001,0.000125
423,211,424,8,0,1,6.19872,18.8496,0.500062,-0.0005,0,1.73268,6.25e-05,0.0005,0.001,0.000125
424,211,423,8,0,1,6.19872,18.8496,0.500062,0.0005,0,1.73268,6.25e-05,0.0005,0.001,0.000125
425,212,426,8,0,1,6.22849,18.8496,0.500062,-0.0005,0,1.73293,6.25e-05,0.0005,0.001,0.000125
426,212,425,8,0,1,6.22849,18.8496,0.500062,0.0005,0,1.73293,6.25e-05,0.0005,0.001,0.000125
427,213,428,8,0,1,6.21865,18.8496,0.500187,-0.0005,0,1.73268,6.25e-05,0.0005,0.001,0.000125
428,213,427,8,0,1,6.21865,18.8496,0.500187,0.0005,0,1.73268,6.25e-05,0.0005,0.001,0.000125
429,214,430,8,0,1,6.225,18.8496,0.500187,-0.0005,0,1.73293,6.25e-05,0.0005,0.001,0.000125
430,214,429,8,0,1,6.225,18.8496,0.500187,0.0005,0,1.73293,6.25e-05,0.0005,0.001,0.000125
431,215,432,8,0,1,6.21884,18.8496,0.500313,-0.0005,0,1.73218,6.25e-05,0.0005,0.001,0.000125
432,215,431,8,0,1,6.21884,18.8496,0.500313,0.0005,0,1.73218,6.25e-05,0.0005,0.001,0.000125
433,216,434,8,0,1,6.22647,18.8496,0.500313,-0.0005,0,1.73243,6.25e-05,0.0005,0.001,0.000125
434,216,433,8,0,1,6.22647,18.8496,0.500313,0.0005,0,1.73243,6.25e-05,0.0005,0.001,0.000125
435,217,436,8,0,1,6.2211,18.8496,0.500437,-0.0005,0,1.73218,6.25e-05,0.0005,0.001,0.000125
436,217,435,8,0,1,6.2211,18.8496,0.500437,0.0005,0,1.73218,6.25e-05,0.0005,0.001,0.000125
