t,x0,x1,x2,x3
17.3416,-0.887643,-0.798311,0.77215,-0.281205
17.4358,-0.812546,-0.82264,0.821521,-0.23409
17.5301,-0.732782,-0.842235,0.871137,-0.180577
17.6243,-0.648343,-0.856444,0.92065,-0.119598
17.7186,-0.559263,-0.864503,0.969514,-0.0498466
17.8128,-0.465641,-0.865514,1.01688,0.0302761
17.9071,-0.367674,-0.85841,1.06143,0.122717
18.0013,-0.265716,-0.841922,1.10116,0.229817
18.0956,-0.160357,-0.814544,1.13295,0.354308
18.1898,-0.0525552,-0.774497,1.15205,0.499175
18.2841,0.056176,-0.719723,1.1512,0.667204
18.3783,0.16348,-0.647955,1.11962,0.859831
18.4726,0.265781,-0.556943,1.04212,1.07466
18.5668,0.357878,-0.445009,0.899821,1.30099
18.6611,0.432799,-0.312114,0.675408,1.51392
18.7553,0.482492,-0.161345,0.3662,1.67244
18.8496,0.5,3.03653e-14,-7.27574e-14,1.73205
